Length(mm),Width(mm),Depth(mm),CenterMainX(px),Area(mm^2),Volume(mm^3),Time(millisec)
5.756,3.648,3.286,116.618176940823,15.952,36.1278233166784,29144
5.864,2.824,2.765,604.913466176853,13.838,23.9746575205658,29850
7.165,2.844,2.81,503.445950066409,16.56,29.9813185647954,29903
7.352,2.863,2.833,377.063824703221,16.833,31.2228140963076,29957
7.334,2.858,2.833,292.623968577779,16.865,31.0919762226683,30007
7.027,2.854,2.81,147.44596966864,16.478,29.5072587155216,30062
6.427,3.694,2.713,589.365728138066,19.24,33.7251280328387,30270
7.072,3.743,2.714,460.84263012776,20.33,37.6158209668462,30323
7.131,3.789,2.713,373.142528506117,20.573,38.3816338253654,30376
7.115,3.76,2.719,224.46546396683,20.579,38.086457441455,30431
5.484,3.83,2.674,111.925337932458,17.417,29.4073740285754,30489
6.617,2.878,2.493,582.477210684953,14.452,24.8583801397587,30587
6.662,2.901,2.538,449.897623664105,14.831,25.6828134495318,30637
6.685,2.899,2.538,366.768701841678,14.861,25.7537139147061,30691
6.617,2.909,2.561,211.085084876944,14.817,25.8114888837899,30744
5.28,2.901,2.515,103.668109247777,12.34,20.1705742695432,30795
6.164,2.788,2.47,567.499584310048,13.691,22.2254710909246,30847
6.22,2.805,2.493,426.796227706675,14.002,22.7742535329685,30900
6.333,2.832,2.493,292.31088717501,14.115,23.4111979911841,30955
6.282,2.808,2.493,207.891169768094,14.045,23.0258640593024,31007
5.536,3.131,2.692,609.995702173506,14.616,24.43165161651,31261
7.335,3.15,2.734,510.319797393827,17.792,33.0756055874463,31317
7.365,3.172,2.746,380.885018758527,18.067,33.5896195628261,31374
7.284,3.195,2.755,253.383155414096,18.23,33.5707485498267,31433
6.757,3.179,2.737,135.783282947872,17.24,30.7834907966874,31490
6.662,2.969,2.833,580.0802939707,15.93,29.3399941410373,31940
7.404,2.984,2.878,457.14739809127,16.76,33.2931310901259,31991
7.433,3.002,2.901,327.528164924506,16.8,33.8938709706635,32047
7.365,3.004,2.901,241.644053071778,16.648,33.60617082381,32099
6.223,3.308,2.977,517.667260911757,15.698,32.0880081162036,32151
6.287,3.33,2.988,388.508530183727,16.042,32.7541934213758,32202
6.286,3.335,2.994,303.184426316572,16.114,32.8640159921389,32253
6.301,3.322,2.96,157.111084379862,16.008,32.4413890411525,32307
7.206,3.035,2.923,569.231208125555,16.784,33.471901965521,33097
7.365,3.072,2.946,422.244787335155,17.288,34.8999919958053,33152
7.359,3.08,2.964,290.134570134852,17.313,35.1759909635197,33211
7.313,3.036,2.965,161.964928437708,17.006,34.4683632090052,33262
4.26,2.991,2.946,82.2486955392718,10.546,19.6542907762146,33318
7.061,3.043,2.901,577.048031589788,16.537,32.6373219036671,33377
7.531,3.055,2.941,457.012390401136,17.364,35.4288869861088,33434
7.659,3.075,2.946,322.040223310748,17.506,36.3285910269314,33491
7.682,3.067,2.946,195.964570329368,17.44,36.3428886632837,33553
5.71,2.765,2.629,603.732408680576,12.884,21.7330386475618,33612
6.413,2.771,2.68,526.247196359904,13.843,24.9362522220991,33662
6.413,2.792,2.674,379.486226999453,14.093,25.0689808800322,33715
6.366,2.783,2.69,249.089172519607,14.001,24.9534582957118,33768
6.04,2.769,2.697,130.371155570712,13.552,23.6178012254991,33828
4.577,3.512,3.082,631.714573018768,12.809,25.9398031699813,33884
7.455,3.55,3.15,536.8026969357,19.452,43.6500933620941,33941
7.591,3.616,3.172,408.033558385694,19.736,45.5889105822112,34001
7.562,3.702,3.173,279.260368554289,19.845,46.5095119083169,34058
7.034,3.532,3.15,145.023852387239,19.253,40.9762522816176,34112
4.441,3.399,3.059,633.965920527503,12.33,24.1774245712758,34175
7.387,3.422,3.117,553.405357388671,19.895,41.25565900714,34231
7.599,3.444,3.139,417.794396436865,20.233,43.0139697454902,34287
