Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
7.506,3.331,2.969,20.195,38.8679837667889,-14.9314165115356,0
7.505,3.329,2.991,20.17,39.1272681845288,-14.6208753585815,0
7.505,3.322,3.011,20.188,39.3060771742495,-14.7435626983643,-87.2736892700195
7.516,3.331,3.002,20.236,39.3523538194498,-14.9314165115356,-88.210090637207
7.51,3.322,3.011,20.156,39.3322637679699,-14.4702930450439,-87.1375961303711
7.504,3.322,3.013,20.191,39.3269446976546,-14.9314184188843,-87.1375961303711
7.503,3.322,2.991,20.196,39.0345889031728,-14.9314184188843,0
7.516,3.331,3.011,20.23,39.4703322286354,-14.9314165115356,-87.2736892700195
7.499,3.334,3.011,20.206,39.4165243753135,-15.4221601486206,-87.1375961303711
7.516,3.331,3.011,20.226,39.4703322286354,-14.9314165115356,-87.2736892700195
7.516,3.325,3.012,20.215,39.4123209630894,-14.9314165115356,-87.1375961303711
7.514,3.331,3.01,20.224,39.4467239892241,-14.9314165115356,-87.1375961303711
7.512,3.333,3.011,20.233,39.473012373688,-14.6208753585815,-87.1375961303711
7.516,3.325,3.013,20.173,39.4254060630107,-14.9314165115356,-87.1375961303711
7.515,3.323,3.011,20.21,39.3702981793789,-14.5344543457031,-87.1375961303711
7.51,3.329,3.013,20.204,39.4413240783994,-14.6208744049072,-87.1375961303711
7.509,3.331,3.013,20.208,39.4597646811625,-14.9314184188843,-87.1375961303711
7.519,3.331,2.995,20.219,39.2762636406086,-14.9314184188843,-88.0908508300781
7.506,3.322,2.991,20.194,39.0501964956971,-14.9314165115356,0
7.512,3.331,3.011,20.23,39.4493261976462,-14.9314165115356,-87.2736892700195
7.504,3.325,3.011,20.173,39.3363312822263,-14.9314184188843,-87.2736892700195
7.507,3.331,3.013,20.203,39.4492546892378,-14.9314184188843,-87.2736892700195
7.507,3.331,3.013,20.207,39.4492546892378,-14.9314184188843,-87.2736892700195
7.512,3.331,3.011,20.214,39.4493261976462,-14.9314165115356,-87.1375961303711
7.501,3.331,3.013,20.18,39.4177247134638,-14.9314184188843,-87.1375961303711
7.504,3.322,3.014,20.18,39.3399971187292,-14.9314184188843,-86.9872131347656
7.504,3.331,2.991,20.205,39.1455584788385,-14.9314184188843,0
7.495,3.334,3.012,20.175,39.4085832846457,-15.9453954696655,-87.1375961303711
7.503,3.331,2.994,20.188,39.1795999694435,-14.9314184188843,-88.2642974853516
7.506,3.319,3.011,20.156,39.2758136069373,-14.9314165115356,-87.1375961303711
7.512,3.322,2.994,20.184,39.1206106894525,-14.9314165115356,-88.315315246582
7.509,3.331,3.013,20.201,39.4597646811625,-14.9314184188843,-87.1375961303711
7.504,3.321,2.991,20.159,39.0280395401449,-14.9314184188843,0
7.511,3.332,3.012,20.227,39.4690201257084,-14.3813953399658,-87.1375961303711
7.509,3.329,2.991,20.197,39.1481221582447,-14.6208753585815,0
7.516,3.331,2.991,20.225,39.2081579860008,-14.9314165115356,0
7.5,3.314,3.011,20.149,39.1852972257296,-14.6763925552368,-87.2736892700195
7.506,3.319,2.991,20.172,39.0149314175854,-14.9314165115356,0
7.509,3.331,2.991,20.206,39.1716416068228,-14.9314184188843,0
7.506,3.323,3.011,20.187,39.323148121679,-14.6208744049072,-87.2736892700195
7.506,3.325,3.013,20.192,39.372950759574,-14.9314165115356,-87.1375961303711
7.512,3.331,3.01,20.223,39.4362244619446,-14.9314165115356,-87.2736892700195
7.507,3.331,3.011,20.19,39.4230686589098,-14.9314184188843,-87.1375961303711
7.508,3.334,3.01,20.227,39.4507239592384,-15.4221601486206,-87.1375961303711
7.506,3.325,3.011,20.202,39.3468153790499,-14.9314165115356,-87.2736892700195
7.505,3.319,3.013,20.159,39.2966657611475,-14.6208753585815,-87.2736892700195
