Length(mm),Width(mm),Depth(mm),CenterMainX(px),Area(mm^2),Volume(mm^3),Time(millisec)
7.1,3.745,2.714,318.481617600943,20.468,37.7849312531944,16218
7.075,3.771,2.693,165.305321775411,20.348,37.6199273326553,16272
5.053,2.855,2.493,623.845138919826,11.526,18.8311269698957,16430
6.639,2.88,2.538,544.153056929391,14.639,25.408872645979,16482
6.685,2.974,2.538,398.7249639893,14.972,26.4199879897675,16533
6.685,3.008,2.561,266.50557947305,14.909,26.9641940737929,16585
6.571,3.15,2.538,179.671634153774,14.885,27.5063054276127,16632
5.62,2.768,2.47,606.699073981346,12.819,20.1186102326577,16781
6.399,2.777,2.521,511.598039931379,14.068,23.4562973208722,16831
6.781,2.869,2.538,364.073072773752,14.596,25.853213501036,16885
6.458,2.787,2.538,229.759637024467,14.222,23.9180213636346,16938
5.28,2.787,2.515,107.587503116948,12.356,19.3779353633978,16997
4.808,3.127,2.702,634.389179755672,11.426,21.270431841873,17049
7.342,3.15,2.731,533.2656576701,17.846,33.070842304665,17104
7.365,3.181,2.751,394.858391271442,18.206,33.7462588149014,17160
7.302,3.199,2.748,247.851862789215,18.258,33.6102249674481,17223
6.249,3.197,2.74,126.780099671537,16.623,28.6617264056079,17278
5.833,3.275,3.082,613.307831270888,14.212,30.8272324682607,17733
6.435,3.268,3.117,486.82708984558,15.524,34.321481311743,17783
6.394,3.356,3.148,399.860969293378,16.193,35.3694193426112,17834
6.379,3.383,3.127,258.695712136409,16.382,35.3330480076244,17885
6.299,3.387,2.773,123.867716997228,16.052,30.9767104933925,17940
6.39,2.85,2.538,593.679892851164,14.313,24.2011474803898,18249
7.537,2.91,2.651,513.644329758353,15.919,30.4438696868017,18304
7.566,2.936,2.674,344.464285525306,16.174,31.1015772167498,18362
7.342,2.904,2.629,190.845412337419,15.963,29.3494657800413,18423
6.005,2.855,2.538,118.749235818801,13.663,22.7829189094451,18475
6.504,3.059,2.896,585.750128048748,16.208,30.1687411947214,18527
7.341,3.047,2.942,493.372721397526,17.347,34.4563260993636,18582
7.394,3.483,3.078,347.377811130864,17.857,41.5049751812351,18634
7.356,3.059,2.964,216.180751690056,17.508,34.9219124459794,18684
6.436,3.059,2.946,134.348003896868,16.427,30.368747260393,18735
5.325,2.765,2.629,614.705654504095,12.152,20.2676761468068,18788
6.434,2.794,2.651,494.099133195707,14.178,24.952600209472,18845
6.509,3.122,2.81,400.234057672441,14.332,29.8986867088326,18895
6.48,2.812,2.674,261.277879047823,14.366,25.512343136308,18946
5.824,3.059,2.878,607.983473594341,14.034,26.8466595360446,18999
7.659,3.093,2.923,496.938090455187,17.638,36.2559615155543,19058
7.727,3.106,2.923,405.378894025094,17.884,36.7315961954836,19112
7.75,3.083,2.946,259.085495280206,17.942,36.8558636071587,19162
7.614,3.082,2.901,172.810698702492,17.888,35.644445084715,19211
4.102,3.58,3.059,642.354172814843,11.31,23.5210541623278,19268
7.386,3.627,3.127,559.033032609114,20.006,43.8614881440995,19322
7.614,3.651,3.172,466.190560524219,20.296,46.1696419303623,19378
7.593,3.703,3.191,309.718962728244,20.58,46.9777852669832,19431
7.437,3.634,3.172,169.321911992198,20.359,44.8863721051702,19487
4.781,3.512,3.036,627.293170342143,13.61,26.6915405420187,19540
7.561,3.488,3.088,571.549377397715,19.966,42.6414170168005,19596
7.627,3.504,3.126,465.366526593334,20.773,43.7426852647627,19644
7.659,3.543,3.149,302.608998848597,21.035,44.7419084472823,19696
